Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;superficie_lavorativa;tipo_eser_pa;CAP;ID_NIL;NIL;MUNICIPIO;LONG_WGS84;LAT_WGS84;Location
C-PA/1123;Via CESARIANO CESARE N. 9| (z.d. 1);SERVIZI ALLA PERSONA;Via CESARIANO CESARE;9;7113;35;Parrucchiere per signora;20154;69;SARPI;1;917.669.309.037;454.780.426.806;45.4780426806, 9.17669309037
C-PA/1125;Via CUCCHIARI DOMENICO N. 7| (z.d. 8);SERVIZI ALLA PERSONA;Via CUCCHIARI DOMENICO;7;7224;24;Parrucchiere per signora;20155;70;GHISOLFA;8;916.475.145.362;454.883.955.238;45.4883955238, 9.16475145362
C-PA/1130;Via EMANUELE FILIBERTO N. 4| (z.d. 8);SERVIZI ALLA PERSONA;Via EMANUELE FILIBERTO;4;7168;35;Parrucchiere per uomo;20149;67;PORTELLO;8;915.777.456.411;454.855.829.086;45.4855829086, 9.15777456411
C-PA/1131;VIA FAUCHE' GIOVANNI BATTISTA N. 8 (z.d. 8);SERVIZI ALLA PERSONA;VIA FAUCHE' GIOVANNI BATTISTA;8;7192;17;Parrucchiere per signora;20154;69;SARPI;8;916.574.751.533;454.846.472.853;45.4846472853, 9.16574751533
C-PA/1132;Via FAUCHE' GIOVANNI BATTISTA N. 9| (z.d. 8);SERVIZI ALLA PERSONA;Via FAUCHE' GIOVANNI BATTISTA;9;7192;20;Parrucchiere per uomo;20154;69;SARPI;8;916.532.930.782.729;454.846.355.909.166;45.4846355909166, 9.16532930782729
C-PA/1133;Via FAUCHE' GIOVANNI BATTISTA N. 24| (z.d. 8);SERVIZI ALLA PERSONA;Via FAUCHE' GIOVANNI BATTISTA;24;7192;25;ACCONCIATORE;20154;69;SARPI;8;916.352.478.023;454.863.272.644;45.4863272644, 9.16352478023
C-PA/1135;Via FAUCHE' GIOVANNI BATTISTA N. 40| (z.d. 8);SERVIZI ALLA PERSONA;Via FAUCHE' GIOVANNI BATTISTA;40;7192;42;TIPO A-B-C-D;20154;69;SARPI;8;916.218.892.486;454.873.379.052;45.4873379052, 9.16218892486
C-PA/1136;VIA FERRUCCI FRANCESCO N. 22| (z.d. 8);SERVIZI ALLA PERSONA;VIA FERRUCCI FRANCESCO;22;7150;29;Parrucchiere per signora;20145;68;PAGANO;8;916.186.311.172;454.782.323.277;45.4782323277, 9.16186311172
C-PA/1139;Via GHERARDINI GIOVANNI N. 2| (z.d. 1);SERVIZI ALLA PERSONA;Via GHERARDINI GIOVANNI;2;7140;27;Parrucchiere per uomo;20145;68;PAGANO;1;917.020.424.361;45.476.921.097;45.476921097, 9.17020424361
C-PA/1146;Via GIUSTI GIUSEPPE N. 28| (z.d. 1);SERVIZI ALLA PERSONA;Via GIUSTI GIUSEPPE;28;7127;20;Parrucchiere per uomo;20154;69;SARPI;1;917.564.187.291;45.480.026.138;45.480026138, 9.17564187291
C-PA/1147;Via GOVONE GIUSEPPE N. 19| (z.d. 8);SERVIZI ALLA PERSONA;Via GOVONE GIUSEPPE;19;7222;20;Parrucchiere per signora;20154;70;GHISOLFA;8;916.818.568.303;454.885.518.278;45.4885518278, 9.16818568303
C-PA/1148;Via GOVONE GIUSEPPE N. 28| (z.d. 8);SERVIZI ALLA PERSONA;Via GOVONE GIUSEPPE;28;7222;18;Parrucchiere per uomo;20155;70;GHISOLFA;8;916.754.785.468;454.894.937.377;45.4894937377, 9.16754785468
C-PA/1153;Via GOVONE GIUSEPPE N. 56| (z.d. 8);SERVIZI ALLA PERSONA;Via GOVONE GIUSEPPE;56;7222;23;Parrucchiere per uomo;20155;70;GHISOLFA;8;91.648.663.181;454.915.421.393;45.4915421393, 9.1648663181
C-PA/1154;Piazza GRAMSCI ANTONIO N. 5| (z.d. 8);SERVIZI ALLA PERSONA;Piazza GRAMSCI ANTONIO;5;7205;;TIPO A ESTETICA MANUALE|TIPO C TRATT.ESTETICI DIMAGRIM;20154;69;SARPI;8;916.829.894.459;454.814.656.157;45.4814656157, 9.16829894459
C-PA/1156;Piazza GRAMSCI ANTONIO N. 12| (z.d. 8);SERVIZI ALLA PERSONA;Piazza GRAMSCI ANTONIO;12;7205;23;Parrucchiere per uomo;20154;69;SARPI;8;916.830.579.924;454.822.942.016;45.4822942016, 9.16830579924
C-PA/1157;Via GRAN SAN BERNARDO N. 4| (z.d. 8);SERVIZI ALLA PERSONA;Via GRAN SAN BERNARDO;4;7218;51;Parrucchiere per signora;20154;70;GHISOLFA;8;916.749.261.005;454.882.519.817;45.4882519817, 9.16749261005
C-PA/1158;Via INDUNO (F.LLI) N. 17| (z.d. 8);SERVIZI ALLA PERSONA;Via INDUNO (F.LLI);17;7217;;TIPO A ESTETICA MANUALE;20154;69;SARPI;8;916.813.458.469;45.486.781.968;45.486781968, 9.16813458469
C-PA/1159;Via INDUNO (F.LLI) N. 28| (z.d. 8);SERVIZI ALLA PERSONA;Via INDUNO (F.LLI);28;7217;20;Parrucchiere per uomo;20154;69;SARPI;8;916.875.754.993;45.487.322.658;45.487322658, 9.16875754993
C-PA/1161;Piazza LEGA LOMBARDA N. 5| (z.d. 1);SERVIZI ALLA PERSONA;Piazza LEGA LOMBARDA;5;7084;;Parrucchiere per uomo;20154;69;SARPI;1;918.021.266.831;454.780.414.848;45.4780414848, 9.18021266831
C-PA/1164;Via LOMAZZO PAOLO N. 16| (z.d. 8);SERVIZI ALLA PERSONA;Via LOMAZZO PAOLO;16;7079;18;Parrucchiere per uomo;20154;69;SARPI;8;917.235.362.883;454.819.960.735;45.4819960735, 9.17235362883
C-PA/1169;Via LOSANNA N. 36| (z.d. 8);SERVIZI ALLA PERSONA;Via LOSANNA;36;7190;34;Parrucchiere per signora;20154;69;SARPI;8;916.496.192.694;454.866.084.654;45.4866084654, 9.16496192694
C-PA/2639;Via RITA DA CASCIA (SANTA) N. 59| (z.d. 6);SERVIZI ALLA PERSONA;Via RITA DA CASCIA (SANTA);59;5301;;ACCONCIATORE;20143;45;S. CRISTOFORO;6;915.344.735.058;454.386.267.774;45.4386267774, 9.15344735058
C-PA/2640;Via RITA DA CASCIA (SANTA) N. 74| (z.d. 6);SERVIZI ALLA PERSONA;Via RITA DA CASCIA (SANTA);74;5301;29;Acconciatore;20142;48;RONCHETTO S/N;6;91.535.855.761;45.438.029.853;45.438029853, 9.1535855761
C-PA/2643;Via TERAMO N. 31| (z.d. 6);SERVIZI ALLA PERSONA;Via TERAMO;31;5365;44;Parrucchiere per signora;20142;46;BARONA;6;91.457.412.414;454.353.345.106;45.4353345106, 9.1457412414
C-PA/2646;Alzaia NAVIGLIO GRANDE N. 34| (z.d. 6);SERVIZI ALLA PERSONA;Alzaia NAVIGLIO GRANDE;34;5144;21;Parrucchiere per signora;20144;44;NAVIGLI;6;917.286.702.605;45.451.522.734;45.451522734, 9.17286702605
C-PA/2654;Piazza BAZZI GIOVANNI ANTONIO N. 2| (z.d. 6);SERVIZI ALLA PERSONA;Piazza BAZZI GIOVANNI ANTONIO;2;6102;16;Pedicure estetico;20144;50;TORTONA;6;916.229.680.071;454.567.398.673;45.4567398673, 9.16229680071
C-PA/2655;Piazza BELFANTI SERAFINO N. 2| (z.d. 6);SERVIZI ALLA PERSONA;Piazza BELFANTI SERAFINO;2;5270;29;Parrucchiere per signora;20143;44;NAVIGLI;6;91.731.807.724;454.440.591.753;45.4440591753, 9.1731807724
C-PA/2661;Via BORSI GIOSUE' N. 2| (z.d. 6);SERVIZI ALLA PERSONA;Via BORSI GIOSUE';2;5237;20;Acconciatore;20143;44;NAVIGLI;6;917.673.061.997;454.476.413.057;45.4476413057, 9.17673061997
C-PA/2662;Viale CASSALA N. 1| (z.d. 6);SERVIZI ALLA PERSONA;Viale CASSALA;1;5275;16;Parrucchiere per uomo;20143;44;NAVIGLI;6;915.836.333.561;454.480.901.528;45.4480901528, 9.15836333561
C-PA/2665;Viale CASSALA N. 45| (z.d. 6);SERVIZI ALLA PERSONA;Viale CASSALA;45;5275;20;ACCONCIATORE;20143;44;NAVIGLI;6;916.351.315.246;454.449.800.565;45.4449800565, 9.16351315246
C-PA/2667;Via COLA DI RIENZO N. 2| (z.d. 6);SERVIZI ALLA PERSONA;Via COLA DI RIENZO;2;6094;15;Parrucchiere per uomo;20144;50;TORTONA;6;916.107.589.516;454.565.787.871;45.4565787871, 9.16107589516
C-PA/2675;Corso COLOMBO CRISTOFORO N. 1| (z.d. 6);SERVIZI ALLA PERSONA;Corso COLOMBO CRISTOFORO;1;5114;120;ACCONCIATORE|TIPO A - REG.2003|TIPO B CENTRO DI ABBRONZATURA;20144;44;NAVIGLI;6;917.285.696.191;454.552.425.452;45.4552425452, 9.17285696191
C-PA/2676;Corso COLOMBO CRISTOFORO N. 1| (z.d. 6);SERVIZI ALLA PERSONA;Corso COLOMBO CRISTOFORO;1;5114;20;Parrucchiere per uomo;20144;44;NAVIGLI;6;917.285.696.191;454.552.425.452;45.4552425452, 9.17285696191
C-PA/2353;Via VENINI GIULIO E CORRADO N. 65| (z.d. 2);SERVIZI ALLA PERSONA;Via VENINI GIULIO E CORRADO;65;2258;24;Parrucchiere per signora;20127;20;LORETO;2;921.611.666.336;454.921.983.077;45.4921983077, 9.21611666336
C-PA/2354;Largo CERVI (F.LLI) N. 1| (z.d. 2);SERVIZI ALLA PERSONA;Largo CERVI (F.LLI);1;2218;27;Parrucchiere per signora;20127;20;LORETO;2;921.552.267.838;454.910.458.948;45.4910458948, 9.21552267838
C-PA/2358;Via VARANINI LUIGI N. 26| (z.d. 2);SERVIZI ALLA PERSONA;Via VARANINI LUIGI;26;2288;46;Parrucchiere per signora;20125;20;LORETO;2;921.479.489.306;45.493.169.156;45.493169156, 9.21479489306
C-PA/2361;Via TRANSITI (DEI) N. 27| (z.d. 2);SERVIZI ALLA PERSONA;Via TRANSITI (DEI);27;2284;33;Acconciatore;20127;20;LORETO;2;921.855.485.133;454.909.492.435;45.4909492435, 9.21855485133
C-PA/2364;Via TRANSITI (DEI) N. 1| (z.d. 2);SERVIZI ALLA PERSONA;Via TRANSITI (DEI);1;2284;35;ACCONCIATORE;20127;20;LORETO;2;922.179.998.218;45.490.439.231;45.490439231, 9.22179998218
C-PA/2367;Via TERMOPILI N. 29| (z.d. 2);SERVIZI ALLA PERSONA;Via TERMOPILI;29;2297;18;Parrucchiere per uomo;20127;20;LORETO;2;921.999.103.064;454.928.557.052;45.4928557052, 9.21999103064
C-PA/2370;Via MEUCCI ANTONIO N. 70 (z.d. 2);SERVIZI ALLA PERSONA;Via MEUCCI ANTONIO;70;2497;28;Acconciatore;20128;17;ADRIANO;2;923.950.278.749;455.081.354.513;45.5081354513, 9.23950278749
C-PA/2371;Via UGUZZONE (SANT') N. 21| (z.d. 2);SERVIZI ALLA PERSONA;Via UGUZZONE (SANT');21;2448;28;Parrucchiere per signora;20126;16;VLE MONZA;2;922.480.238.154;455.207.152.598;45.5207152598, 9.22480238154
C-PA/2372;Via STAZIO CECILIO N. 11| (z.d. 2);SERVIZI ALLA PERSONA;Via STAZIO CECILIO;11;2280;35;Parrucchiere per signora;20131;20;LORETO;2;922.237.735.125;454.901.661.449;45.4901661449, 9.22237735125
C-PA/2373;Via SOPERGA N. 52| (z.d. 2);SERVIZI ALLA PERSONA;Via SOPERGA;52;2262;14;Parrucchiere per uomo;20127;20;LORETO;2;921.288.525.959;454.909.999.407;45.4909999407, 9.21288525959
C-PA/2374;Via SAULI ALESSANDRO (SANT') N. 9| (z.d. 2);SERVIZI ALLA PERSONA;Via SAULI ALESSANDRO (SANT');9;2273;25;Parrucchiere per signora;20127;20;LORETO;2;921.691.474.758;454.907.759.733;45.4907759733, 9.21691474758
C-PA/2377;Via MAMETE (SAN) N. 15| (z.d. 2);SERVIZI ALLA PERSONA;Via MAMETE (SAN);15;2413;34;Parrucchiere per signora;20128;17;ADRIANO;2;924.908.622.564;455.111.292.959;45.5111292959, 9.24908622564
C-PA/2378;Via MAMETE (SAN) N. 15| (z.d. 2);SERVIZI ALLA PERSONA;Via MAMETE (SAN);15;2413;22;Parrucchiere per uomo;20128;17;ADRIANO;2;924.908.622.564;455.111.292.959;45.5111292959, 9.24908622564
C-PA/2380;Via MAMETE (SAN) N. 3| (z.d. 2);SERVIZI ALLA PERSONA;Via MAMETE (SAN);3;2413;25;Parrucchiere per uomo;20128;17;ADRIANO;2;924.742.704.098;455.107.715.887;45.5107715887, 9.24742704098
C-PA/479;Via ABBAZIA N. 6| (z.d. 2);SERVIZI ALLA PERSONA;Via ABBAZIA;6;1310;26;Parrucchiere per signora;20125;12;MACIACHINI - MAGGIOLINA;2;919.871.903.918;455.008.500.948;45.5008500948, 9.19871903918
C-PA/480;Via ANGERA N. 10| (z.d. 2);SERVIZI ALLA PERSONA;Via ANGERA;10;1395;28;Parrucchiere per uomo;20125;12;MACIACHINI - MAGGIOLINA;2;920.341.628.712;454.941.074.191;45.4941074191, 9.20341628712
C-PA/481;Via ARBE N. 31| (z.d. 2);SERVIZI ALLA PERSONA;Via ARBE;31;1352;17;Pedicure estetico;20125;12;MACIACHINI - MAGGIOLINA;2;919.757.252.092;454.979.125.884;45.4979125884, 9.19757252092
C-PA/482;VIA ARBE N. 65| (z.d. 2);SERVIZI ALLA PERSONA;VIA ARBE;65;1352;40;Acconciatore;20125;12;MACIACHINI - MAGGIOLINA;2;919.872.526.033;454.998.787.318;45.4998787318, 9.19872526033
C-PA/483;Via ARBE N. 85| (z.d. 2);SERVIZI ALLA PERSONA;Via ARBE;85;1352;16;Parrucchiere per signora;20125;12;MACIACHINI - MAGGIOLINA;2;919.989.874.381;455.019.513.172;45.5019513172, 9.19989874381
C-PA/485;VIA BISI ALBINI SOFIA N. 4| (z.d. 2);SERVIZI ALLA PERSONA;VIA BISI ALBINI SOFIA;4;1349;17;Acconciatore;20125;12;MACIACHINI - MAGGIOLINA;2;919.718.794.752;454.989.811.561;45.4989811561, 9.19718794752
C-PA/489;Via CAGLIERO GIOVANNI N. 6| (z.d. 2);SERVIZI ALLA PERSONA;Via CAGLIERO GIOVANNI;6;1407;16;Parrucchiere per signora;20125;12;MACIACHINI - MAGGIOLINA;2;920.543.190.034;454.948.326.284;45.4948326284, 9.20543190034
C-PA/491;Via CAGLIERO GIOVANNI N. 7| (z.d. 2);SERVIZI ALLA PERSONA;Via CAGLIERO GIOVANNI;7;1407;;Parrucchiere per signora;20125;12;MACIACHINI - MAGGIOLINA;2;920.516.595.465;454.946.656.176;45.4946656176, 9.20516595465
C-PA/495;Via CAGLIERO GIOVANNI N. 14 interrato| (z.d. 2);SERVIZI ALLA PERSONA;Via CAGLIERO GIOVANNI;14;1407;20;TIPO A - REG.2003|TIPO B CENTRO DI ABBRONZATURA;20125;12;MACIACHINI - MAGGIOLINA;2;920.263.428.306;454.960.229.059;45.4960229059, 9.20263428306
C-PA/506;Via STATUTO N. 18 con ingresso v- moscova nĝ 39| (z.d. 1);SERVIZI ALLA PERSONA;Via STATUTO;18;1029;36;ACCONCIATORE;20121;2;BRERA;1;918.499.872.405;454.774.284.456;45.4774284456, 9.18499872405
C-PA/508;Via TIVOLI N. 8| (z.d. 1);SERVIZI ALLA PERSONA;Via TIVOLI;8;712;20;Parrucchiere per uomo;20121;2;BRERA;1;918.330.923.045;45.472.060.198;45.472060198, 9.18330923045
C-PA/509;Via VARESE N. 1| (z.d. 1);SERVIZI ALLA PERSONA;Via VARESE;1;1031;29;Parrucchiere per signora;20121;2;BRERA;1;918.435.078.326;454.788.646.785;45.4788646785, 9.18435078326
C-PA/511;Via VARESE N. 20| (z.d. 1);SERVIZI ALLA PERSONA;Via VARESE;20;1031;30;Parrucchiere per signora;20121;2;BRERA;1;918.441.935.491;45.480.582.917;45.480582917, 9.18441935491
C-PA/512;Via VOLTA ALESSANDRO N. 8| (z.d. 1);SERVIZI ALLA PERSONA;Via VOLTA ALESSANDRO;8;1018;46;TIPO A - REG.2003|TIPO B CENTRO DI ABBRONZATURA;20121;2;BRERA;1;918.382.303.659;45.479.504.576;45.479504576, 9.18382303659
C-PA/515;Via BOCCACCIO GIOVANNI N. 9| (z.d. 1);SERVIZI ALLA PERSONA;Via BOCCACCIO GIOVANNI;9;6158;15;Parrucchiere per uomo;20123;7;MAGENTA - S. VITTORE;1;917.414.122.996;45.467.667.958;45.467667958, 9.17414122996
C-PA/516;Via BOCCACCIO GIOVANNI N. 11| (z.d. 1);SERVIZI ALLA PERSONA;Via BOCCACCIO GIOVANNI;11;6158;;Parrucchiere per signora|TIPO A ESTETICA MANUALE;20123;7;MAGENTA - S. VITTORE;1;917.393.241.136;454.676.610.419;45.4676610419, 9.17393241136
C-PA/517;Via BOCCACCIO GIOVANNI num.015a| (z.d. 1);SERVIZI ALLA PERSONA;Via BOCCACCIO GIOVANNI;;6158;80;Parrucchiere per signora;;;;;;;
C-PA/601;Viale MICHELE DEL CARSO (SAN) N. 6 (z.d. 7);SERVIZI ALLA PERSONA;Viale MICHELE DEL CARSO (SAN);6;6212;74;Parrucchiere per signora;20144;51;WASHINGTON;7;916.439.864.769;454.651.086.653;45.4651086653, 9.16439864769
C-PA/606;Via EDOLO num.002| (z.d. 2);SERVIZI ALLA PERSONA;Via EDOLO;;1217;24;Parrucchiere per signora;;;;;;;
C-PA/607;Via EDOLO N. 3| (z.d. 2);SERVIZI ALLA PERSONA;Via EDOLO;3;1217;11;Parrucchiere per signora;20125;10;CENTRALE;2;920.599.724.847;45.491.644.683;45.491644683, 9.20599724847
C-PA/609;Via EDOLO N. 42 (z.d. 2);SERVIZI ALLA PERSONA;Via EDOLO;42;1217;58;Parrucchiere per signora;20125;10;CENTRALE;2;920.739.121.093;454.944.935.487;45.4944935487, 9.20739121093
C-PA/612;Via FARA GUSTAVO N. 5| (z.d. 9);SERVIZI ALLA PERSONA;Via FARA GUSTAVO;5;1183;22;ACCONCIATORE;20124;9;GARIBALDI REPUBBLICA;9;919.763.783.556;454.821.628.874;45.4821628874, 9.19763783556
C-PA/613;Via FARA GUSTAVO N. 9| (z.d. 9);SERVIZI ALLA PERSONA;Via FARA GUSTAVO;9;1183;20;Parrucchiere per uomo;20124;9;GARIBALDI REPUBBLICA;9;919.778.548.543;454.825.993.495;45.4825993495, 9.19778548543
C-PA/614;Via FARA GUSTAVO N. 14| (z.d. 2);SERVIZI ALLA PERSONA;Via FARA GUSTAVO;14;1183;74;ACCONCIATORE;20124;10;CENTRALE;2;919.814.293.177;454.829.962.691;45.4829962691, 9.19814293177
C-PA/619;VIA FILZI FABIO N. 9 (z.d. 2);SERVIZI ALLA PERSONA;VIA FILZI FABIO;9;1190;;Acconciatore;20124;10;CENTRALE;2;919.900.229.215;454.826.628.996;45.4826628996, 9.19900229215
C-PA/620;Via FILZI FABIO N. 14 i piano| (z.d. 2);SERVIZI ALLA PERSONA;Via FILZI FABIO;14;1190;63;TIPO A - REG.2003|TIPO B CENTRO DI ABBRONZATURA;20124;10;CENTRALE;2;919.992.672.664;454.834.745.819;45.4834745819, 9.19992672664
C-PA/621;Via FILZI FABIO N. 23 (z.d. 2);SERVIZI ALLA PERSONA;Via FILZI FABIO;23;1190;28;Acconciatore;20124;10;CENTRALE;2;91.996.416.341;454.836.413.023;45.4836413023, 9.1996416341
C-PA/622;Via FILZI FABIO N. 23| (z.d. 2);SERVIZI ALLA PERSONA;Via FILZI FABIO;23;1190;31;ACCONCIATORE;20124;10;CENTRALE;2;91.996.416.341;454.836.413.023;45.4836413023, 9.1996416341
C-PA/627;Via FILZI FABIO N. 45| (z.d. 2);SERVIZI ALLA PERSONA;Via FILZI FABIO;45;1190;34;Parrucchiere per uomo|TIPO A ESTETICA MANUALE|TIPO B CENTRO DI ABBRONZATURA;20124;10;CENTRALE;2;920.297.753.357;454.879.640.861;45.4879640861, 9.20297753357
C-PA/630;Piazza QUATTRO NOVEMBRE N. 6 piano rialzato| (z.d. 2);SERVIZI ALLA PERSONA;Piazza QUATTRO NOVEMBRE;6;1199;84;ACCONCIATORE;20124;10;CENTRALE;2;920.286.387.569;454.872.495.899;45.4872495899, 9.20286387569
C-PA/633;Via GIOIA MELCHIORRE N. 43| (z.d. 9);SERVIZI ALLA PERSONA;Via GIOIA MELCHIORRE;43;1108;16;Parrucchiere per uomo;20124;9;GARIBALDI REPUBBLICA;9;919.766.523.523;454.869.544.307;45.4869544307, 9.19766523523
C-PA/1696;Viale PAPINIANO N. 57| (z.d. 1);SERVIZI ALLA PERSONA;Viale PAPINIANO;57;5097;;Parrucchiere per signora;20123;7;MAGENTA - S. VITTORE;1;917.244.191.492.203;454.567.640.404.745;45.4567640404745, 9.17244191492203
C-PA/1699;Piazza AGOSTINO (SANT') N. 24| (z.d. 1);SERVIZI ALLA PERSONA;Piazza AGOSTINO (SANT');24;5091;;Acconciatore;20123;7;MAGENTA - S. VITTORE;1;916.942.162.032;45.458.781.114;45.458781114, 9.16942162032
C-PA/1703;Via TORCHIO (DEL) N. 7| (z.d. 1);SERVIZI ALLA PERSONA;Via TORCHIO (DEL);7;556;92;Parrucchiere per signora;20123;1;DUOMO;1;917.975.283.629;454.606.666.821;45.4606666821, 9.17975283629
C-PA/1704;Via MAURILIO (SAN) N. 1| (z.d. 1);SERVIZI ALLA PERSONA;Via MAURILIO (SAN);1;563;28;Parrucchiere per signora;20123;1;DUOMO;1;918.508.554.438;454.615.383.741;45.4615383741, 9.18508554438
C-PA/1705;Via MAURILIO (SAN) N. 1| (z.d. 1);SERVIZI ALLA PERSONA;Via MAURILIO (SAN);1;563;17;Parrucchiere per uomo;20123;1;DUOMO;1;918.508.554.438;454.615.383.741;45.4615383741, 9.18508554438
C-PA/1707;Via VINCENZO (SAN) N. 1| (z.d. 1);SERVIZI ALLA PERSONA;Via VINCENZO (SAN);1;5098;21;ACCONCIATORE;20123;7;MAGENTA - S. VITTORE;1;917.714.059.158;454.587.421.299;45.4587421299, 9.17714059158
C-PA/1713;Via SIMONETTA CICCO N. 17| (z.d. 1);SERVIZI ALLA PERSONA;Via SIMONETTA CICCO;17;5168;;Parrucchiere per signora;20123;6;TICINESE;1;917.487.236.402;454.556.733.636;45.4556733636, 9.17487236402
C-PA/1715;Via TORCHIO (DEL) N. 3| (z.d. 1);SERVIZI ALLA PERSONA;Via TORCHIO (DEL);3;556;34;Parrucchiere per signora;20123;1;DUOMO;1;918.029.369.421;45.460.567.182;45.460567182, 9.18029369421
C-PA/1716;Via TORCHIO (DEL) N. 4| (z.d. 1);SERVIZI ALLA PERSONA;Via TORCHIO (DEL);4;556;28;Parrucchiere per signora;20123;1;DUOMO;1;91.808.355.163;454.603.157.537;45.4603157537, 9.1808355163
C-PA/1717;Via TORCHIO (DEL) num.0068| (z.d. 1);SERVIZI ALLA PERSONA;Via TORCHIO (DEL);;556;25;TIPO A ESTETICA MANUALE;;;;;;;
C-PA/1718;Via TORCHIO (DEL) N. 8| (z.d. 1);SERVIZI ALLA PERSONA;Via TORCHIO (DEL);8;556;18;Parrucchiere per uomo;20123;1;DUOMO;1;918.055.083.357;454.605.218.671;45.4605218671, 9.18055083357
C-PA/1720;Bastioni PORTA VOLTA (DI) N. 9| (z.d. 1);SERVIZI ALLA PERSONA;Bastioni PORTA VOLTA (DI);9;1066;30;TIPO A ESTETICA MANUALE|TIPO D ESTET.APPAR.ELETTROMECC|TIPO C TRATT.ESTETICI DIMAGRIM;20121;2;BRERA;1;918.208.870.415;45.479.402.943;45.479402943, 9.18208870415
C-PA/1724;Foro BUONAPARTE N. 63| (z.d. 1);SERVIZI ALLA PERSONA;Foro BUONAPARTE;63;711;45;ACCONCIATORE;20121;1;DUOMO;1;918.019.797.489;454.677.575.788;45.4677575788, 9.18019797489
C-PA/1727;Foro BUONAPARTE N. 74| (z.d. 1);SERVIZI ALLA PERSONA;Foro BUONAPARTE;74;711;48;Parrucchiere per signora;20121;2;BRERA;1;918.281.658.066;454.690.698.548;45.4690698548, 9.18281658066
C-PA/1732;Viale CRISPI FRANCESCO num.005a| (z.d. 1);SERVIZI ALLA PERSONA;Viale CRISPI FRANCESCO;;1063;;Parrucchiere per signora;;;;;;;
C-PA/1733;Viale CRISPI FRANCESCO N. 9| (z.d. 1);SERVIZI ALLA PERSONA;Viale CRISPI FRANCESCO;9;1063;15;Parrucchiere per uomo;20121;2;BRERA;1;918.391.047.176;454.807.493.886;45.4807493886, 9.18391047176
C-PA/1738;Via ERBE (DELLE) N. 1| (z.d. 1);SERVIZI ALLA PERSONA;Via ERBE (DELLE);1;713;31;Parrucchiere per signora;20121;2;BRERA;1;918.381.827.939.312;454.708.217.439.331;45.4708217439331, 9.18381827939312
C-PA/1743;Corso GARIBALDI GIUSEPPE num.051a| (z.d. 1);SERVIZI ALLA PERSONA;Corso GARIBALDI GIUSEPPE;;1010;21;ACCONCIATORE|TIPO A - REG.2003;;;;;;;
C-PA/1744;Corso GARIBALDI GIUSEPPE N. 79| (z.d. 1);SERVIZI ALLA PERSONA;Corso GARIBALDI GIUSEPPE;79;1010;78;ACCONCIATORE;20121;2;BRERA;1;918.366.568.576;454.759.613.253;45.4759613253, 9.18366568576
