age,workclass,fnlwgt,education,education-num,maritial-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
35,Federal-gov,245372,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
67,Self-emp-inc,112318,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
47,Private,168232,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,7298,0,40,United-States,>50K
37,Federal-gov,408229,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,<=50K
41,Self-emp-not-inc,112362,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,38,United-States,<=50K
34,Private,198091,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,72,United-States,<=50K
30,Private,174543,Assoc-acdm,12,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States,<=50K
32,Private,232855,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States,<=50K
55,Private,286230,11th,7,Divorced,Sales,Own-child,White,Female,0,0,20,United-States,<=50K
38,Federal-gov,122493,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,4064,0,40,United-States,<=50K
47,Private,191957,Bachelors,13,Married-civ-spouse,Sales,Husband,Black,Male,0,0,40,United-States,>50K
44,Private,75227,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,14084,0,40,United-States,>50K
37,Private,167415,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
52,Local-gov,192563,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,38,United-States,<=50K
44,State-gov,244974,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,44,United-States,>50K
45,Self-emp-inc,142719,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
42,Private,115085,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,United-States,<=50K
23,Private,216181,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,36,Iran,<=50K
33,Private,117983,10th,6,Divorced,Other-service,Unmarried,White,Female,0,0,45,United-States,<=50K
26,Private,318518,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
33,Self-emp-not-inc,155343,Some-college,10,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,72,United-States,<=50K
26,Private,199143,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,<=50K
21,Private,300812,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,25,United-States,<=50K
41,Self-emp-not-inc,227065,Some-college,10,Separated,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
30,Private,162623,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
34,Private,187215,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,15024,0,36,United-States,>50K
19,Self-emp-not-inc,116385,11th,7,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
78,Self-emp-not-inc,82815,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,>50K
39,Private,314007,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,40,United-States,<=50K
21,Private,315303,Some-college,10,Never-married,Other-service,Own-child,Black,Male,0,0,20,United-States,<=50K
22,State-gov,311512,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,15,United-States,<=50K
27,Self-emp-not-inc,115705,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K
29,Private,176037,Assoc-voc,11,Divorced,Tech-support,Not-in-family,Black,Male,14344,0,40,United-States,>50K
24,Self-emp-not-inc,172047,Assoc-acdm,12,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
34,Private,516337,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Mexico,<=50K
34,State-gov,173730,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,38,United-States,<=50K
44,Private,376072,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States,>50K
31,Self-emp-not-inc,36592,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,91,United-States,<=50K
26,State-gov,130557,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,35,United-States,<=50K
36,Private,171968,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
44,Local-gov,254134,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,Black,Male,0,0,40,United-States,<=50K
26,Self-emp-not-inc,202560,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,35,United-States,<=50K
42,Self-emp-not-inc,34037,Bachelors,13,Never-married,Farming-fishing,Own-child,White,Male,0,0,35,United-States,<=50K
35,Private,112271,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
40,Local-gov,306495,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States,<=50K
52,Private,181755,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
54,Local-gov,288825,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,<=50K
41,Local-gov,173051,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,45,United-States,<=50K
39,Local-gov,473547,10th,6,Divorced,Handlers-cleaners,Own-child,Black,Male,0,0,40,United-States,<=50K
44,Private,196545,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,40,United-States,>50K
47,Private,280798,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
34,Private,191385,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,48,United-States,<=50K
18,Private,270544,12th,8,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States,<=50K
30,Private,144064,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,62,United-States,<=50K
31,Private,254304,10th,6,Divorced,Craft-repair,Not-in-family,White,Male,0,0,38,United-States,<=50K
28,Private,301654,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
31,Private,193650,11th,7,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
32,Private,155232,Bachelors,13,Divorced,Protective-serv,Not-in-family,Black,Male,0,0,60,United-States,>50K
22,Private,162282,Assoc-voc,11,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States,<=50K
33,Private,204742,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,44,United-States,<=50K
43,Private,75742,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
44,Local-gov,181344,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,38,United-States,>50K
52,Self-emp-inc,334273,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,65,United-States,>50K
45,Private,51744,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,42,United-States,<=50K
35,Private,241998,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,4787,0,40,United-States,>50K
20,Private,141481,11th,7,Married-civ-spouse,Sales,Other-relative,White,Female,0,0,50,United-States,<=50K
40,Private,287983,Bachelors,13,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,2258,48,Philippines,<=50K
38,Private,229015,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
30,Private,272451,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
38,Private,167440,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,4508,0,40,United-States,<=50K
19,Private,43003,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,<=50K
18,Private,169652,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,12,United-States,<=50K
58,Self-emp-not-inc,266707,1st-4th,2,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2179,18,United-States,<=50K
44,Private,201924,Bachelors,13,Divorced,Sales,Unmarried,White,Female,0,0,35,United-States,<=50K
37,Private,171090,9th,5,Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,0,0,48,United-States,<=50K
60,Private,355865,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
41,Private,195897,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
36,Self-emp-not-inc,224886,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,2407,0,40,United-States,<=50K
23,Local-gov,203353,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,45,United-States,<=50K
59,Private,226922,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0,1762,30,United-States,<=50K
31,Private,164243,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1579,40,United-States,<=50K
28,Private,149734,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,0,0,52,United-States,<=50K
33,Private,376483,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,30,United-States,<=50K
45,Federal-gov,45891,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Male,0,0,42,United-States,<=50K
33,Self-emp-not-inc,193246,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,55,France,<=50K
43,Private,163985,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
35,Private,338611,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
55,Self-emp-inc,182273,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
66,Self-emp-inc,249043,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,5556,0,26,United-States,>50K
40,Private,55508,7th-8th,4,Divorced,Farming-fishing,Unmarried,White,Female,0,0,40,United-States,<=50K
54,State-gov,93415,Bachelors,13,Never-married,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,>50K
51,Private,210736,HS-grad,9,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
25,Private,213412,Bachelors,13,Never-married,Tech-support,Unmarried,White,Male,0,0,40,United-States,<=50K
62,Private,244087,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,50,United-States,>50K
30,Private,115963,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
41,Private,29591,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,30,United-States,<=50K
34,Private,183557,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,25,United-States,<=50K
38,Private,195025,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,0,0,32,United-States,<=50K
38,Private,117312,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,15024,0,40,United-States,>50K
34,Private,122616,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,84,United-States,>50K
37,Private,40955,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,30,United-States,<=50K
45,Private,201699,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
36,Local-gov,95462,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
39,Private,207824,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,60,United-States,<=50K
55,Private,90414,Bachelors,13,Married-spouse-absent,Craft-repair,Unmarried,White,Female,0,0,55,Ireland,<=50K
19,Private,268392,HS-grad,9,Never-married,Sales,Unmarried,Black,Female,0,0,30,United-States,<=50K
34,Private,42900,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
57,Local-gov,323309,7th-8th,4,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
27,Self-emp-not-inc,328518,Assoc-voc,11,Never-married,Prof-specialty,Other-relative,White,Male,0,0,30,United-States,<=50K
29,Private,119429,HS-grad,9,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,<=50K
46,Self-emp-inc,116338,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,50,United-States,>50K
18,Private,234953,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,25,United-States,<=50K
58,Federal-gov,208640,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
53,Private,295520,9th,5,Widowed,Sales,Unmarried,Black,Female,0,0,25,United-States,<=50K
24,Private,159580,Bachelors,13,Never-married,Other-service,Own-child,Black,Female,0,0,75,United-States,<=50K
22,Private,210781,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,35,United-States,<=50K
40,Private,184105,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
40,Self-emp-not-inc,45093,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,45,Canada,<=50K
52,Private,202071,HS-grad,9,Widowed,Craft-repair,Own-child,White,Female,0,0,40,United-States,<=50K
35,Private,188972,HS-grad,9,Widowed,Exec-managerial,Unmarried,White,Female,0,0,30,United-States,<=50K
65,Private,36209,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,22,United-States,>50K
50,Private,110748,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
20,Private,203027,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,55,United-States,<=50K
29,Private,196971,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,72,United-States,<=50K
38,Private,181716,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States,<=50K
24,Self-emp-inc,189148,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K
23,Private,203715,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States,<=50K
28,Private,114158,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,15,United-States,<=50K
45,Private,340341,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
43,Self-emp-not-inc,99203,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
56,Private,265086,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
36,Private,127686,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,37,United-States,<=50K
58,Private,238438,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,42,United-States,<=50K
28,Private,270973,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
50,Private,94081,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
43,Self-emp-not-inc,355856,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,50,Philippines,<=50K
20,Federal-gov,347935,Some-college,10,Never-married,Protective-serv,Own-child,Black,Male,0,0,40,United-States,<=50K
39,Private,278187,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
29,Private,351731,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
28,State-gov,37250,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,16,United-States,<=50K
29,Private,109621,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
20,Private,236769,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
48,Private,315423,5th-6th,3,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
59,Private,21792,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,0,0,10,United-States,<=50K
33,Private,262439,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,>50K
36,Private,187098,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
54,Self-emp-not-inc,226735,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,45,United-States,<=50K
36,Private,206253,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,1617,40,United-States,<=50K
46,Private,117313,9th,5,Separated,Machine-op-inspct,Not-in-family,White,Female,0,0,40,Ireland,<=50K
68,Self-emp-not-inc,116903,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2149,40,United-States,<=50K
44,Self-emp-not-inc,109684,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
22,Private,223019,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
