CapShape,CapSurface,CapColor,Bruises,Odor,GillAttachment,GillSpacing,GillSize,GillColor,StalkShape,StalkRoot,StalkSurfaceAboveRing,StalkSurfaceBelowRing,StalkColorAboveRing,StalkColorBelowRing,VeilType,VeilColor,RingNumber,RingType,SporePrintColor,Population,Habitat,Class
flat,fibrous,red,True,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,brown,solitary,woods,edible
convex,scaly,brown,False,spicy,free,close,narrow,buff,tapering,Missing[],silky,silky,white,white,partial,white,one,evanescent,white,several,paths,poisonous
knobbed,smooth,brown,False,foul,free,close,narrow,buff,tapering,Missing[],smooth,smooth,white,pink,partial,white,one,evanescent,white,several,leaves,poisonous
flat,scaly,gray,False,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,pink,partial,white,one,large,chocolate,solitary,paths,poisonous
convex,fibrous,gray,True,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,black,solitary,woods,edible
flat,scaly,red,True,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,brown,several,woods,edible
convex,scaly,brown,True,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,black,scattered,paths,edible
convex,smooth,white,False,creosote,free,crowded,narrow,purple,enlarging,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,woods,poisonous
convex,smooth,brown,False,foul,free,close,narrow,buff,tapering,Missing[],silky,smooth,pink,pink,partial,white,one,evanescent,white,several,paths,poisonous
convex,scaly,brown,False,spicy,free,close,narrow,buff,tapering,Missing[],smooth,silky,white,pink,partial,white,one,evanescent,white,several,paths,poisonous
flat,fibrous,gray,False,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,buff,pink,partial,white,one,large,chocolate,solitary,grasses,poisonous
flat,scaly,gray,False,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,pink,pink,partial,white,one,large,chocolate,solitary,grasses,poisonous
knobbed,scaly,brown,False,spicy,free,close,narrow,buff,tapering,Missing[],silky,silky,white,white,partial,white,one,evanescent,white,several,woods,poisonous
convex,smooth,brown,False,none,attached,close,broad,brown,enlarging,Missing[],smooth,smooth,orange,orange,partial,brown,one,pendant,yellow,clustered,leaves,edible
convex,fibrous,pink,False,creosote,free,close,narrow,gray,enlarging,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,woods,poisonous
bell,fibrous,gray,False,none,free,crowded,broad,pink,enlarging,Missing[],smooth,silky,white,white,partial,white,two,pendant,white,numerous,grasses,edible
convex,smooth,buff,True,none,free,close,broad,white,enlarging,Missing[],smooth,smooth,white,red,partial,white,two,evanescent,white,clustered,waste,edible
convex,scaly,gray,True,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,brown,solitary,woods,edible
flat,smooth,brown,False,none,attached,close,broad,brown,enlarging,Missing[],smooth,smooth,orange,orange,partial,brown,one,pendant,brown,clustered,leaves,edible
convex,scaly,brown,True,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,gray,partial,white,one,pendant,black,solitary,woods,edible
flat,scaly,brown,True,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,brown,scattered,paths,edible
convex,fibrous,gray,False,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,buff,brown,partial,white,one,large,chocolate,several,grasses,poisonous
convex,scaly,yellow,False,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,pink,partial,white,one,large,chocolate,several,grasses,poisonous
knobbed,scaly,red,False,fishy,free,close,narrow,buff,tapering,Missing[],smooth,silky,pink,white,partial,white,one,evanescent,white,several,leaves,poisonous
convex,scaly,white,True,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,grasses,edible
flat,smooth,white,False,none,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses,edible
bell,scaly,white,True,none,free,close,broad,white,enlarging,bulbous,smooth,smooth,white,white,partial,white,two,pendant,green,several,grasses,poisonous
flat,smooth,gray,False,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,scattered,grasses,edible
flat,fibrous,brown,True,none,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,black,solitary,woods,edible
bell,smooth,white,True,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,grasses,edible
bell,scaly,white,True,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,meadows,edible
bell,scaly,white,True,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,meadows,edible
flat,fibrous,yellow,False,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,buff,brown,partial,white,one,large,chocolate,solitary,woods,poisonous
convex,smooth,white,False,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses,edible
flat,scaly,gray,False,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,pink,partial,white,one,large,chocolate,several,woods,poisonous
flat,smooth,red,False,foul,free,close,narrow,buff,tapering,Missing[],silky,silky,pink,pink,partial,white,one,evanescent,white,several,leaves,poisonous
convex,scaly,gray,True,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,black,several,woods,edible
knobbed,scaly,brown,False,fishy,free,close,narrow,buff,tapering,Missing[],silky,smooth,white,pink,partial,white,one,evanescent,white,several,woods,poisonous
flat,scaly,red,False,spicy,free,close,narrow,buff,tapering,Missing[],silky,smooth,white,white,partial,white,one,evanescent,white,several,paths,poisonous
flat,fibrous,gray,False,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,buff,partial,white,one,large,chocolate,solitary,grasses,poisonous
convex,scaly,gray,True,none,free,close,broad,white,enlarging,bulbous,smooth,smooth,white,white,partial,white,two,pendant,white,solitary,paths,edible
flat,scaly,gray,False,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,pink,partial,white,one,large,chocolate,several,paths,poisonous
bell,smooth,white,True,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,grasses,edible
convex,scaly,white,True,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,meadows,edible
flat,smooth,gray,False,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,abundant,grasses,edible
flat,smooth,brown,False,none,attached,close,broad,brown,enlarging,Missing[],smooth,smooth,orange,orange,partial,orange,one,pendant,buff,clustered,leaves,edible
flat,scaly,yellow,False,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,brown,brown,partial,white,one,large,chocolate,several,grasses,poisonous
convex,fibrous,red,True,none,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,white,partial,white,one,pendant,black,solitary,woods,edible
knobbed,scaly,brown,False,foul,free,close,narrow,buff,tapering,Missing[],silky,smooth,pink,pink,partial,white,one,evanescent,white,several,leaves,poisonous
convex,fibrous,red,True,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,brown,solitary,woods,edible
convex,scaly,brown,False,foul,free,close,narrow,buff,tapering,Missing[],smooth,smooth,white,pink,partial,white,one,evanescent,white,several,woods,poisonous
flat,fibrous,yellow,False,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,brown,buff,partial,white,one,large,chocolate,solitary,woods,poisonous
convex,smooth,white,False,none,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,abundant,grasses,edible
knobbed,smooth,gray,False,none,free,crowded,broad,gray,enlarging,Missing[],silky,smooth,white,white,partial,white,two,pendant,white,numerous,grasses,edible
flat,scaly,yellow,False,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,pink,brown,partial,white,one,large,chocolate,solitary,woods,poisonous
flat,smooth,red,False,fishy,free,close,narrow,buff,tapering,Missing[],smooth,silky,white,white,partial,white,one,evanescent,white,several,woods,poisonous
flat,smooth,gray,False,none,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,abundant,grasses,edible
convex,fibrous,brown,True,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,brown,several,woods,edible
flat,scaly,yellow,False,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,brown,pink,partial,white,one,large,chocolate,solitary,woods,poisonous
convex,fibrous,brown,False,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,scattered,grasses,edible
convex,fibrous,white,False,none,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,abundant,grasses,edible
convex,scaly,pink,True,none,free,close,broad,red,enlarging,Missing[],smooth,smooth,white,red,partial,white,two,evanescent,white,clustered,waste,edible
flat,smooth,white,True,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,several,urban,poisonous
flat,scaly,yellow,False,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,pink,brown,partial,white,one,large,chocolate,several,paths,poisonous
knobbed,scaly,brown,False,fishy,free,close,narrow,buff,tapering,Missing[],silky,smooth,white,pink,partial,white,one,evanescent,white,several,leaves,poisonous
knobbed,scaly,brown,False,foul,free,close,narrow,buff,tapering,Missing[],smooth,silky,white,pink,partial,white,one,evanescent,white,several,paths,poisonous
convex,scaly,white,True,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,urban,poisonous
convex,fibrous,gray,False,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,pink,buff,partial,white,one,large,chocolate,solitary,woods,poisonous
flat,smooth,brown,False,spicy,free,close,narrow,buff,tapering,Missing[],silky,smooth,pink,pink,partial,white,one,evanescent,white,several,woods,poisonous
flat,smooth,brown,False,none,attached,close,broad,brown,enlarging,Missing[],smooth,smooth,orange,orange,partial,orange,one,pendant,brown,several,leaves,edible
flat,smooth,brown,False,fishy,free,close,narrow,buff,tapering,Missing[],silky,smooth,pink,white,partial,white,one,evanescent,white,several,leaves,poisonous
knobbed,scaly,red,False,spicy,free,close,narrow,buff,tapering,Missing[],silky,smooth,pink,pink,partial,white,one,evanescent,white,several,leaves,poisonous
convex,scaly,yellow,False,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,buff,partial,white,one,large,chocolate,solitary,paths,poisonous
convex,smooth,white,False,none,free,crowded,broad,gray,enlarging,Missing[],smooth,silky,white,white,partial,white,two,pendant,white,numerous,grasses,edible
flat,smooth,white,False,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,scattered,grasses,edible
convex,smooth,brown,False,fishy,free,close,narrow,buff,tapering,Missing[],smooth,silky,white,pink,partial,white,one,evanescent,white,several,paths,poisonous
convex,smooth,red,False,fishy,free,close,narrow,buff,tapering,Missing[],smooth,silky,pink,white,partial,white,one,evanescent,white,several,woods,poisonous
bell,scaly,pink,True,none,free,close,broad,gray,enlarging,bulbous,smooth,smooth,white,white,partial,white,two,pendant,green,several,meadows,poisonous
convex,scaly,brown,False,spicy,free,close,narrow,buff,tapering,Missing[],smooth,smooth,white,white,partial,white,one,evanescent,white,several,leaves,poisonous
convex,scaly,red,True,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,brown,solitary,woods,edible
flat,scaly,brown,True,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,brown,solitary,grasses,edible
flat,scaly,gray,False,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,brown,partial,white,one,large,chocolate,several,grasses,poisonous
convex,smooth,brown,False,foul,free,close,narrow,buff,tapering,Missing[],silky,smooth,white,white,partial,white,one,evanescent,white,several,paths,poisonous
bell,smooth,pink,True,none,free,close,broad,green,enlarging,bulbous,smooth,smooth,white,white,partial,white,two,pendant,green,several,meadows,poisonous
flat,smooth,brown,False,none,attached,close,broad,yellow,enlarging,Missing[],smooth,smooth,orange,orange,partial,brown,one,pendant,orange,clustered,leaves,edible
flat,fibrous,gray,False,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,pink,buff,partial,white,one,large,chocolate,several,grasses,poisonous
flat,scaly,yellow,False,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,brown,pink,partial,white,one,large,chocolate,several,paths,poisonous
flat,smooth,gray,False,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,brown,abundant,grasses,edible
flat,scaly,brown,True,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,grasses,poisonous
convex,scaly,yellow,False,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,brown,pink,partial,white,one,large,chocolate,several,woods,poisonous
convex,fibrous,white,False,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,scattered,grasses,edible
convex,smooth,white,True,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,urban,poisonous
convex,smooth,red,False,spicy,free,close,narrow,buff,tapering,Missing[],silky,smooth,pink,white,partial,white,one,evanescent,white,several,paths,poisonous
convex,scaly,gray,True,none,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,pink,partial,white,one,pendant,black,solitary,woods,edible
flat,fibrous,gray,False,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,pink,partial,white,one,large,chocolate,several,grasses,poisonous
flat,smooth,brown,False,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,abundant,grasses,edible
flat,fibrous,yellow,False,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,pink,pink,partial,white,one,large,chocolate,several,grasses,poisonous
convex,smooth,red,False,spicy,free,close,narrow,buff,tapering,Missing[],smooth,silky,white,white,partial,white,one,evanescent,white,several,leaves,poisonous
knobbed,scaly,red,False,fishy,free,close,narrow,buff,tapering,Missing[],silky,smooth,pink,pink,partial,white,one,evanescent,white,several,paths,poisonous
knobbed,scaly,brown,False,foul,free,close,narrow,buff,tapering,Missing[],silky,smooth,pink,white,partial,white,one,evanescent,white,several,woods,poisonous
knobbed,scaly,red,False,foul,free,close,narrow,buff,tapering,Missing[],silky,smooth,white,white,partial,white,one,evanescent,white,several,woods,poisonous
convex,fibrous,brown,False,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,abundant,grasses,edible
knobbed,smooth,brown,False,none,attached,close,broad,brown,enlarging,Missing[],smooth,smooth,orange,orange,partial,orange,one,pendant,yellow,several,leaves,edible
knobbed,scaly,red,False,foul,free,close,narrow,buff,tapering,Missing[],silky,silky,white,white,partial,white,one,evanescent,white,several,leaves,poisonous
flat,smooth,brown,False,fishy,free,close,narrow,buff,tapering,Missing[],smooth,silky,pink,pink,partial,white,one,evanescent,white,several,paths,poisonous
convex,scaly,gray,False,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,brown,buff,partial,white,one,large,chocolate,solitary,grasses,poisonous
convex,smooth,yellow,True,almond,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,woods,edible
convex,fibrous,red,True,none,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,gray,partial,white,one,pendant,black,several,woods,edible
bell,smooth,buff,True,none,free,close,broad,white,enlarging,bulbous,smooth,smooth,white,white,partial,white,two,pendant,green,several,grasses,poisonous
convex,scaly,white,True,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,grasses,edible
flat,fibrous,yellow,False,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,brown,partial,white,one,large,chocolate,solitary,paths,poisonous
knobbed,smooth,red,False,spicy,free,close,narrow,buff,tapering,Missing[],silky,silky,white,white,partial,white,one,evanescent,white,several,leaves,poisonous
bell,scaly,yellow,True,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,meadows,edible
convex,smooth,red,False,foul,free,close,narrow,buff,tapering,Missing[],smooth,silky,white,pink,partial,white,one,evanescent,white,several,paths,poisonous
flat,fibrous,brown,True,none,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,brown,solitary,woods,edible
flat,fibrous,brown,False,none,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,scattered,grasses,edible
convex,scaly,red,True,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,pink,partial,white,one,pendant,brown,solitary,woods,edible
flat,fibrous,brown,False,none,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,scattered,grasses,edible
